Periods,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
8,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
9,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
10,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
11,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
12,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
13,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
14,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
15,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
17,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
18,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
19,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
20,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
21,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
22,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
23,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
24,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
25,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
26,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
27,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
28,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
29,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
30,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
31,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
32,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
33,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
34,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
35,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
36,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
37,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
38,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
39,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
40,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
41,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
42,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
43,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
44,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
45,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
46,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
47,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
48,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
49,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
50,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
51,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
52,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
53,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
54,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
55,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
56,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
57,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
58,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
59,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
60,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
61,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
62,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
63,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
64,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
65,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
66,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
67,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
68,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
69,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
70,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
71,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
72,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
73,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
74,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
75,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
76,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
77,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
78,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
79,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
80,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
81,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
82,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
83,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
84,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
85,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
86,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
87,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
88,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
89,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
90,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
91,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
92,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
93,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
94,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
95,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
96,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
97,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
98,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
99,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
