Periods,T_amb [°C]
1,24.0
2,23.5
3,23.1
4,22.6
5,22.2
6,21.1
7,20.1
8,19.0
9,17.0
10,20.0
11,24.0
12,26.0
13,28.0
14,28.0
15,29.0
16,30.0
17,31.0
18,30.0
19,29.0
20,29.0
21,27.0
22,26.0
23,24.7
24,24.6
25,24.5
26,24.4
27,24.3
28,24.2
29,23.7
30,23.1
31,22.6
32,22.0
33,21.0
34,23.0
35,26.0
36,27.0
37,29.0
38,30.0
39,30.0
40,30.5
41,31.0
42,31.0
43,31.0
44,30.0
45,28.0
46,26.7
47,25.1
48,24.8
49,24.4
50,24.0
51,23.7
52,23.3
53,22.5
54,21.7
55,20.8
56,20.0
57,20.0
58,21.0
59,24.0
60,27.0
61,29.0
62,30.0
63,31.0
64,31.0
65,31.2
66,32.0
67,31.0
68,30.0
69,28.0
70,25.0
71,25.0
72,23.0
73,24.0
74,25.0
75,24.0
76,23.0
77,21.8
78,20.5
79,19.2
80,18.0
81,18.0
82,19.0
83,23.0
84,27.0
85,28.0
86,29.0
87,30.0
88,31.0
89,32.0
90,33.0
91,32.0
92,30.0
93,28.0
94,25.0
95,24.0
96,24.0
97,23.0
98,22.0
99,21.0
100,20.3
101,19.7
102,19.0
103,18.0
104,17.0
105,17.0
106,21.0
107,25.0
108,27.0
109,29.0
110,31.0
111,32.0
112,32.0
113,32.0
114,32.0
115,31.0
116,30.0
117,27.0
118,27.0
119,26.0
120,25.0
121,24.5
122,24.0
123,28.0
124,24.5
125,21.0
126,17.5
127,21.5
128,22.0
129,21.0
130,21.0
131,25.0
132,27.0
133,28.0
134,30.0
135,30.0
136,31.0
137,32.0
138,33.0
139,31.0
140,30.0
141,29.0
142,27.0
143,26.0
144,25.0
145,24.0
146,23.0
147,22.5
148,22.0
149,21.2
150,20.5
151,19.8
152,19.0
153,18.0
154,20.0
155,25.0
156,27.0
157,29.0
158,29.0
159,31.0
160,32.0
161,33.0
162,36.0
163,35.0
164,35.0
165,31.0
166,27.0
167,26.0
168,25.3
169,24.7
170,24.0
171,23.3
172,22.7
173,22.0
174,21.0
175,20.0
176,19.0
177,19.0
178,21.0
179,25.0
180,27.0
181,30.0
182,31.0
183,33.0
184,35.0
185,32.5
186,32.0
187,31.0
188,21.0
189,21.0
190,21.0
191,21.0
192,21.0
193,21.0
194,21.0
195,21.0
196,21.0
197,21.0
198,21.0
199,21.0
200,21.0
201,21.0
202,21.0
203,21.0
204,21.0
205,21.0
206,21.0
207,21.0
208,21.0
209,21.0
210,21.0
211,21.0
212,21.0
213,21.0
214,21.0
215,21.0
216,21.0
217,21.0
218,21.0
219,21.0
220,21.0
221,21.0
222,21.0
223,21.0
224,21.0
225,21.0
226,21.0
227,21.0
228,21.0
229,21.0
230,21.0
231,21.0
232,21.0
233,21.0
234,21.0
235,21.0
236,21.0
237,21.0
238,21.0
239,21.0
240,21.0
241,21.0
242,21.0
243,21.0
244,21.0
245,21.0
246,21.0
247,21.0
248,21.0
249,21.0
250,21.0
251,21.0
252,21.0
253,21.0
254,21.0
255,21.0
256,21.0
257,21.0
258,21.0
259,21.0
260,21.0
261,21.0
262,21.0
263,21.0
264,21.0
265,21.0
266,21.0
267,21.0
268,21.0
269,21.0
270,21.0
271,21.0
272,21.0
273,21.0
274,21.0
275,21.0
276,21.0
277,21.0
278,21.0
279,21.0
280,21.0
281,21.0
282,21.0
283,21.0
284,21.0
285,21.0
286,21.0
287,21.0
288,21.0
289,21.0
290,21.0
291,21.0
292,21.0
293,21.0
294,21.0
295,21.0
296,21.0
297,21.0
298,21.0
299,21.0
300,21.0
301,21.0
302,21.0
303,21.0
304,21.0
305,21.0
306,21.0
307,21.0
308,21.0
309,21.0
310,21.0
311,21.0
312,21.0
313,21.0
314,21.0
315,21.0
316,21.0
317,21.0
318,21.0
319,21.0
320,21.0
321,21.0
322,21.0
323,21.0
324,21.0
325,21.0
326,21.0
327,21.0
328,21.0
329,21.0
330,21.0
331,21.0
332,21.0
333,21.0
334,21.0
335,21.0
336,21.0
337,21.0
338,21.0
339,21.0
340,21.0
341,21.0
342,21.0
343,21.0
344,21.0
345,21.0
346,21.0
347,21.0
348,21.0
349,21.0
350,21.0
351,21.0
352,21.0
353,21.0
354,21.0
355,21.0
356,21.0
357,21.0
358,21.0
359,21.0
